stat,window,avg_type,mae,rmse,r2
FG2A,28.0,ewma,6.06405259892174,7.6505256806504525,0.37143508965267935
FG2A,29.0,ewma,6.0643187101845495,7.651127400579188,0.37133621150430063
FG2A,30.0,ewma,6.064723055658116,7.651916117270709,0.3712065931737992
FG2A,31.0,ewma,6.06523883564917,7.652870421278576,0.37104974422848425
FG2A,32.0,ewma,6.065924816836484,7.653971780083252,0.3708687011143238
FG2A,33.0,ewma,6.0667700612381035,7.655204083135517,0.3706661022929715
FG2A,34.0,ewma,6.067687957478424,7.656553269437051,0.3704442496844226
FG2A,35.0,ewma,6.068662263194753,7.658007020857238,0.3702051592163812
FG2A,36.0,ewma,6.069686274343981,7.659554508159425,0.3699506026490509
FG2A,37.0,ewma,6.070766823423897,7.661186179560471,0.3696821423672194
FG2A,38.0,ewma,6.07197686216891,7.662893583818146,0.36940116046894855
FG2A,39.0,ewma,6.073289845152422,7.664669221506448,0.3691088832023981
FG2A,40.0,ewma,6.074670973576982,7.6665064194262635,0.36880640158788625
FG2A,41.0,ewma,6.076093102312084,7.668399224100568,0.36849468889563786
FG2A,42.0,ewma,6.07759278515135,7.67034231108817,0.3681746155192652
FG2A,43.0,ewma,6.0791495684231895,7.672330907468601,0.36784696168235065
FG2A,44.0,ewma,6.080745969680107,7.674360725341231,0.3675124283341724
FG2A,45.0,ewma,6.082389648467255,7.676427904572858,0.36717164652582057
FG2A,46.0,ewma,6.0840645644842635,7.678528963341528,0.3668251855060596
FG2A,47.0,ewma,6.085767525981237,7.680660755277029,0.3664735597345138
FG2A,48.0,ewma,6.08750154409334,7.682820432203095,0.36611723497594406
FG2A,49.0,ewma,6.089254980184898,7.685005411652731,0.36575663361192257
FG2A,50.0,ewma,6.091033432622267,7.687213348464065,0.36539213928376446
FG2A,17.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,18.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,19.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,20.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,21.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,22.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,23.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,24.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,25.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
FG2A,26.0,ewma,7.331007639040926,9.154258800064177,0.10005918112608381
